,RSS,_kAktDephos,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1Dephos_kcat,_kIRS1Dephos_km,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KDephos,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40PhosByAkt_kcat,_kPras40PhosByAkt_km,_kS6KPhosS229_kcat,_kS6KPhosS229_km,_kS6KT389Dephos,_kS6KT389Phos_kcat,_kS6KT389Phos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_pPI3K
483,14.3609,0.000100105,2905.55,7298.14,198.62099999999998,7422.76,0.00010191700000000001,7325.39,0.004,0.000100087,1422.41,0.00119683,911.243,447.38,2154.46,1725.25,573.4,696.556,655.201,25.7728,0.00014375,657.0189999999999,72.6504,267.846
484,14.3609,0.000116864,2102.73,3004.94,252.12900000000002,9458.75,0.0009587660000000001,2089.1,0.00449969,0.0001,1214.73,0.0822029,7922.35,313.325,1527.03,1105.64,9985.73,2690.78,8239.93,94.0972,0.000178552,8415.48,1636.78,132.967
485,14.3614,0.0001,660.216,3652.88,258.79400000000004,9722.99,0.00162683,75.6853,0.00478305,0.0001,9680.73,0.0107571,7646.98,1682.95,8194.01,9937.49,5643.63,6757.35,970.305,0.0001,0.0006551,8458.72,364.676,4109.88
486,14.3614,0.00010583,6520.37,7247.46,37.1552,1383.1,0.0620355,9762.81,0.00475301,0.0001,9510.13,0.015756799999999998,9828.81,1245.44,6068.1,1936.05,293.743,7616.36,7301.69,26.7008,0.000268161,6564.42,301.163,791.171
487,14.3615,0.00010525799999999999,2431.35,2769.89,38.6127,1442.07,0.016527200000000002,4461.27,0.00444027,0.0001,3649.48,0.00783124,7064.45,229.618,1110.69,97.2502,22.9267,1006.24,8802.91,278.034,0.0103553,5675.01,7.53677,312.259
488,14.3615,0.0001,9961.34,9007.4,162.783,6076.49,0.00238438,9440.32,0.00404892,0.0001,8596.46,0.0982163,4198.18,2044.19,9945.3,4203.31,4571.88,6750.24,959.7260000000001,0.0001,0.00017785599999999997,9783.29,2807.2,574.1990000000001
489,14.3615,0.00010000200000000001,2461.58,5472.23,245.774,9198.28,0.000185112,7336.24,0.00406044,0.0001,9887.7,0.316225,4503.04,1406.39,6826.76,1725.35,6029.55,6838.35,3378.75,11.4054,0.000113306,5104.06,209.553,1660.17
490,14.3615,0.000100004,1782.28,4388.81,126.15100000000001,4718.67,0.0394703,4282.55,0.00407501,0.0001,8468.05,0.0317108,8734.18,2021.24,9848.35,8542.94,3118.2,6082.14,5557.85,25.0958,0.000143165,6998.98,3211.39,1569.85
491,14.3616,0.00010046799999999999,1141.66,2044.14,258.529,9638.67,0.000121361,1195.66,0.00453133,0.0001,9992.03,0.03083,4362.84,209.701,1018.44,42.9014,16.4171,3661.66,1472.95,8.684510000000001,0.00017124900000000003,2672.98,346.35900000000004,1313.33
492,14.3616,0.0001,1113.65,2011.47,6.2933,228.28,0.000168022,7123.56,0.00473926,0.0001,5101.16,0.00010758299999999999,5344.69,638.764,3089.12,3794.29,0.0001,541.703,9944.28,604.488,0.00010501,8205.23,6222.7,682.23
493,14.3616,0.0001,1900.77,4489.18,264.436,9892.43,0.13383499999999998,4118.98,0.0042068999999999995,0.0001,2394.88,0.03433769999999999,4745.29,599.788,2957.95,1350.09,3932.58,234.392,7625.36,1055.45,0.000147432,1495.78,200.21900000000002,431.292
494,14.3617,0.000103251,939.778,283.836,35.7148,1331.85,0.00011892200000000001,196.21400000000003,0.00403368,0.00010979999999999999,9984.89,0.27875900000000003,1721.38,17.5731,80.4264,15.7072,358.837,399.259,7533.95,605.871,0.000102685,5718.8,90.0789,229.595
