time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
16.551724	1.494147	0.964346	2.143221	0.966857	0.840054	1.0	2.115812	1.291927	2.907716	1.164431	1.981858	0.908984	0.991897	2.197356	1.175365	0.951762	1.959468	0.827536	1.0
20.689655	1.599845	1.002751	2.180205	0.984171	0.866224	1.0	2.149577	1.256698	3.206499	1.328607	1.980851	0.96192	1.008993	2.338568	1.276007	1.15322	2.014648	0.860768	1.0
24.827586	1.705543	1.041155	2.217188	1.001485	0.892395	1.0	2.183342	1.22147	3.505281	1.492784	1.979845	1.014856	1.026089	2.47978	1.376648	1.354678	2.069828	0.893999	1.0
28.965517	1.81124	1.079559	2.254172	1.018799	0.918565	1.0	2.217107	1.186242	3.804063	1.656961	1.978839	1.067792	1.043184	2.620992	1.477289	1.556136	2.125008	0.92723	1.0
33.103448	1.825813	1.08259	2.265696	1.032055	0.92939	1.0	2.238122	1.187808	3.708941	1.720423	1.979197	1.068161	1.047175	2.639793	1.527985	1.637271	2.133243	0.931949	1.0
37.241379	1.810011	1.07383	2.268734	1.043957	0.935099	1.0	2.254887	1.201639	3.482519	1.750315	1.980011	1.051008	1.046796	2.617791	1.562033	1.678299	2.12583	0.927163	1.0
41.37931	1.794208	1.065069	2.271771	1.05586	0.940809	1.0	2.271652	1.21547	3.256096	1.780206	1.980824	1.033855	1.046418	2.595789	1.596081	1.719326	2.118417	0.922377	1.0
45.517241	1.778406	1.056309	2.274809	1.067762	0.946518	1.0	2.288417	1.229301	3.029674	1.810097	1.981637	1.016702	1.046039	2.573787	1.630128	1.760354	2.111004	0.917592	1.0
49.655172	1.762603	1.047548	2.277846	1.079665	0.952227	1.0	2.305182	1.243131	2.803251	1.839988	1.982451	0.999549	1.045661	2.551785	1.664176	1.801381	2.103591	0.912806	1.0
53.793103	1.746801	1.038788	2.280884	1.091567	0.957937	1.0	2.321947	1.256962	2.576829	1.86988	1.983264	0.982395	1.045283	2.529783	1.698224	1.842409	2.096177	0.90802	1.0
57.931034	1.730999	1.030027	2.283921	1.10347	0.963646	1.0	2.338712	1.270793	2.350406	1.899771	1.984077	0.965242	1.044904	2.507781	1.732272	1.883436	2.088764	0.903234	1.0
62.068966	1.714862	1.01886	2.28692	1.102166	0.959977	1.0	2.342875	1.28121	2.283318	1.898007	1.983786	0.958675	1.042591	2.498411	1.749533	1.915612	2.08291	0.904973	1.0
66.206897	1.69839	1.005286	2.289879	1.087656	0.946931	1.0	2.334436	1.288214	2.375564	1.864588	1.982391	0.962694	1.038342	2.501673	1.750007	1.938935	2.078614	0.913237	1.0
70.344828	1.681918	0.991712	2.292838	1.073146	0.933884	1.0	2.325997	1.295217	2.467811	1.831169	1.980996	0.966713	1.034093	2.504936	1.750481	1.962259	2.074318	0.9215	1.0
74.482759	1.665447	0.978138	2.295798	1.058636	0.920837	1.0	2.317558	1.30222	2.560057	1.79775	1.979601	0.970731	1.029844	2.508198	1.750956	1.985583	2.070022	0.929764	1.0
78.62069	1.648975	0.964564	2.298757	1.044126	0.90779	1.0	2.309119	1.309224	2.652304	1.764331	1.978206	0.97475	1.025595	2.51146	1.75143	2.008906	2.065726	0.938028	1.0
82.758621	1.632503	0.95099	2.301716	1.029616	0.894743	1.0	2.30068	1.316227	2.74455	1.730912	1.976811	0.978769	1.021346	2.514722	1.751904	2.03223	2.061431	0.946291	1.0
86.896552	1.616032	0.937415	2.304676	1.015106	0.881696	1.0	2.292241	1.323231	2.836796	1.697493	1.975416	0.982788	1.017098	2.517985	1.752379	2.055554	2.057135	0.954555	1.0
91.034483	1.598725	0.922532	2.301595	0.998436	0.869809	1.0	2.280017	1.326837	2.864809	1.673926	1.970788	0.982164	1.009129	2.509536	1.753857	2.068111	2.054165	0.95556	1.0
95.172414	1.578911	0.90372	2.280396	0.975288	0.8614	1.0	2.256435	1.320253	2.70012	1.679918	1.956463	0.967612	0.99	2.465956	1.758347	2.048367	2.055175	0.93479	1.0
99.310345	1.559098	0.884908	2.259196	0.95214	0.852991	1.0	2.232854	1.313668	2.535432	1.685909	1.942137	0.95306	0.970871	2.422377	1.762837	2.028623	2.056184	0.914019	1.0
103.448276	1.539285	0.866095	2.237997	0.928992	0.844582	1.0	2.209272	1.307084	2.370744	1.6919	1.927812	0.938508	0.951742	2.378797	1.767326	2.008879	2.057194	0.893249	1.0
107.586207	1.519471	0.847283	2.216797	0.905843	0.836174	1.0	2.185691	1.300499	2.206055	1.697892	1.913487	0.923956	0.932613	2.335217	1.771816	1.989135	2.058203	0.872479	1.0
111.724138	1.499658	0.828471	2.195598	0.882695	0.827765	1.0	2.16211	1.293915	2.041367	1.703883	1.899162	0.909404	0.913484	2.291637	1.776306	1.969392	2.059213	0.851708	1.0
115.862069	1.479845	0.809659	2.174398	0.859547	0.819356	1.0	2.138528	1.28733	1.876678	1.709875	1.884836	0.894852	0.894356	2.248057	1.780796	1.949648	2.060223	0.830938	1.0
120.0	1.460031	0.790847	2.153199	0.836399	0.810947	1.0	2.114947	1.280746	1.71199	1.715866	1.870511	0.8803	0.875227	2.204477	1.785286	1.929904	2.061232	0.810168	1.0

0.0	1.433443	0.551438	2.2224	0.263088	0.508631	1.0	2.338194	1.650671	2.337032	0.774612	1.89541	0.506755	0.405519	1.964886	0.646892	0.380477	2.137587	0.711978	1.0
4.137931	1.475124	0.60909	2.221176	0.471765	0.608622	1.0	2.335343	1.529427	2.398896	0.86641	1.918687	0.612236	0.569613	2.00943	0.7383	0.543953	2.120471	0.836543	1.0
8.275862	1.516806	0.666742	2.219952	0.680442	0.708612	1.0	2.332492	1.408183	2.46076	0.958208	1.941964	0.717717	0.733707	2.053974	0.829708	0.707428	2.103355	0.961109	1.0
12.413793	1.558487	0.724393	2.218728	0.88912	0.808603	1.0	2.329641	1.286939	2.522625	1.050006	1.965241	0.823198	0.897802	2.098519	0.921116	0.870904	2.08624	1.085675	1.0
16.551724	1.598931	0.769451	2.232095	1.021509	0.860851	1.0	2.322236	1.216882	2.55214	1.101162	1.977563	0.899024	1.009224	2.137555	1.024161	1.030188	2.079768	1.156592	1.0
20.689655	1.637312	0.793518	2.269781	1.026752	0.833528	1.0	2.307241	1.232138	2.527742	1.084579	1.971625	0.925426	1.032859	2.16741	1.146602	1.182487	2.091037	1.138097	1.0
24.827586	1.675692	0.817585	2.307466	1.031995	0.806205	1.0	2.292247	1.247393	2.503344	1.067997	1.965687	0.951827	1.056494	2.197265	1.269043	1.334786	2.102306	1.119601	1.0
28.965517	1.714073	0.841653	2.345152	1.037238	0.778883	1.0	2.277252	1.262649	2.478946	1.051414	1.959749	0.978228	1.08013	2.22712	1.391485	1.487085	2.113575	1.101106	1.0
33.103448	1.71395	0.84189	2.345183	1.046601	0.78519	1.0	2.276434	1.266048	2.491329	1.043224	1.965384	0.975509	1.081658	2.251242	1.456098	1.573945	2.110255	1.097234	1.0
37.241379	1.700993	0.834185	2.332663	1.057338	0.802708	1.0	2.280341	1.265495	2.515972	1.037831	1.974876	0.963083	1.075817	2.273454	1.501435	1.638992	2.102072	1.098238	1.0
41.37931	1.688035	0.82648	2.320143	1.068075	0.820226	1.0	2.284249	1.264942	2.540616	1.032439	1.984368	0.950656	1.069975	2.295665	1.546771	1.704039	2.09389	1.099241	1.0
45.517241	1.675077	0.818775	2.307623	1.078812	0.837744	1.0	2.288156	1.26439	2.565259	1.027046	1.99386	0.93823	1.064134	2.317876	1.592108	1.769087	2.085707	1.100245	1.0
